ID,Customer_ID,Month,Name,Age,SSN,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,Credit_Score
0x6762,CUS_0x6fe2,January,Schnurra,25,164-17-6558,Accountant,62214.36,4997.53,9,7,19,9,"Credit-Builder Loan, Student Loan, Mortgage Loan, Payday Loan, Mortgage Loan, Student Loan, Credit-Builder Loan, Mortgage Loan, and Credit-Builder Loan",58,20,1.05,8.0,_,2892.91,31.737712480746023,13 Years and 10 Months,Yes,339.97158180105623,216.583807190171,High_spent_Small_value_payments,203.19761100877272,-1
0x18b64,CUS_0xb13c,July,Jennifert,33,528-06-6283,_______,14613.65,1334.8041666666666,8,583,22,6,"Personal Loan, Credit-Builder Loan, Personal Loan, Mortgage Loan, Personal Loan, and Debt Consolidation Loan",20,16,9.63,9.0,Bad,2882.07,27.41456244678553,2 Years and 3 Months,Yes,67.9758190597178,57.54453501725725,High_spent_Small_value_payments,267.96006258969163,0
0xb8d5,CUS_0xa0c3,August,Chanf,56,355-23-1301,Lawyer,101112.6,8600.05,8,6,4,2,"Auto Loan, and Mortgage Loan",18,20,1.42,2.0,Good,399.49,36.516159714628685,29 Years and 3 Months,No,143.85673451766658,132.07082261639974,High_spent_Large_value_payments,824.0774428659337,1
0x2ec3,CUS_0x6732,February,alazsh,50,060-69-0738,Journalist,140390.32,11888.193333333336,5,2,4,3,"Credit-Builder Loan, Home Equity Loan, and Payday Loan",3,0,4.67,2.0,Good,1423.23,36.955251507001584,30 Years and 9 Months,No,182.16042377680043,133.2130344228415,High_spent_Medium_value_payments,1123.4458751336915,1
0x1b36,CUS_0x8c69,January,Toonkelf,24,070-07-9414,Musician,20188.02,1851.335,4,3,6,3,"Mortgage Loan, Student Loan, and Mortgage Loan",10,5,1.31,0.0,_,399.92,28.54258478328452,20 Years and 2 Months,No,25.58028081581637,147.63621347336863,Low_spent_Large_value_payments,281.91700571081503,0
0x208ea,CUS_0x2a66,May,Oliviad,29,783-15-6029,Media_Manager,31276.27,2540.355833333333,7,4,14,1,Credit-Builder Loan,6,10,7.68,1.0,Standard,1275.06,39.899109199094944,24 Years and 1 Months,Yes,16.327466291720913,106.24282967094769,High_spent_Medium_value_payments,381.46528737066484,0
0x15c80,CUS_0xb83d,March,Caroline Valetkevitchl,31,583-60-0474,Engineer,26690.13,2326.1775,6,7,15,7,"Student Loan, Personal Loan, Credit-Builder Loan, Mortgage Loan, Debt Consolidation Loan, Auto Loan, and Personal Loan",6,12,10.91,5.0,Standard,661.26,30.972725118161755,12 Years and 11 Months,Yes,150.2627869589389,240.24425144243594,Low_spent_Medium_value_payments,122.1107115986252,0
0x1f9fe,CUS_0x80fd,January,Berniez,36,#F%$D@*&8,Developer,41509.62,3413.135,7,8,23,6,"Personal Loan, Debt Consolidation Loan, Student Loan, Personal Loan, Not Specified, and Payday Loan",33,20,13.98,10.0,Standard,2435.57,27.79344889499981,16 Years and 1 Months,NM,156.06564783890218,61.8644229072209,High_spent_Medium_value_payments,373.3834292538769,0
0x1f10e,CUS_0xa910,May,Cohns,40,635-44-8558,Scientist,17689.64,1286.1366666666663,7,6,25,7_,"Mortgage Loan, Personal Loan, Auto Loan, Student Loan, Credit-Builder Loan, Credit-Builder Loan, and Credit-Builder Loan",29,21,13.25,8.0,_,3783.14_,23.50166867039917,5 Years and 9 Months,Yes,96.06048105815356,14.319223054470127,High_spent_Medium_value_payments,268.2339625540429,0
0xc2e2,CUS_0x1416,January,Valentinaz,19,#F%$D@*&8,Accountant,29651.23,2460.935833333333,6,5,6,2,"Home Equity Loan, and Not Specified",14,17,8.62,2.0,Standard,1217.99,33.39903059458258,27 Years and 3 Months,No,44176.0,87.34991192710217,Low_spent_Small_value_payments,410.84066509541384,0
0x1320a,CUS_0x4fee,May,Salioux,25,791-20-6533,Musician,33101.56,2989.463333333333,6,10,29,6,"Mortgage Loan, Debt Consolidation Loan, Home Equity Loan, Payday Loan, Mortgage Loan, and Not Specified",14,21,5.12,10.0,Bad,1507.49,37.91996024054215,12 Years and 5 Months,Yes,85.50478750142938,215.362248997782,Low_spent_Small_value_payments,288.07929683412203,0
0xfd2b,CUS_0xc282,June,Edwin Chanb,17,092-89-2578,Musician,18980.76,1749.7299999999998,7,5,15,7,"Not Specified, Not Specified, Personal Loan, Not Specified, Personal Loan, Debt Consolidation Loan, and Mortgage Loan",42,20,19.86,7.0,Bad,4561.34,38.67161758744782,0 Years and 9 Months,Yes,102.98964238186709,160.0827474533118,Low_spent_Large_value_payments,181.9006101648211,-1
0x1f763,CUS_0x39a0,June,Guillaumeo,33_,365-78-5880,Scientist,74005.12,5941.093333333332,6,8,19,6,"Debt Consolidation Loan, Home Equity Loan, Credit-Builder Loan, Mortgage Loan, Mortgage Loan, and Credit-Builder Loan",22,19,12.69,7.0,Standard,2170.45,36.38005525291837,13 Years and 1 Months,NM,190.9110895600943,102.61622598690329,High_spent_Medium_value_payments,550.5820177863359,-1
0xdec0,CUS_0x5548,July,Gerry Shihe,27,505-47-4262,Architect,108767.37_,9205.9475,5,4,5,3,"Student Loan, Auto Loan, and Mortgage Loan",8,6,2.5,2.0,Good,461.74,41.22719490358028,16 Years and 3 Months,No,193.68895328033216,243.88347642695885,High_spent_Medium_value_payments,733.0223202927092,1
